Timestamp,Where do you live? (City)  ,What nights did you attend CHUR BURN 2018?,Would you buy a double ticket next year?,How safe did you feel during Chur Burn?,"Were you aware of the roaming Good Time Patrol (GTP), dressed in yellow? ",What do you love/value most about Chur Burn?,What do you dislike? What could we lose?,What could we add or improve to make Chur Burn even better?,Have you ever been to Kiwiburn?,How about a Chur Festival - Would you be interested in attending?,What kind of Chur festival?,How far would you realistically travel for a Chur festival?,Any other feedback about Chur Burn? We always hold space for any kind of feedback
2018/05/01 8:10:38 pm GMT+12,Wellington,Saturday only,One night was enough for me,7,"Yeah, they were easy to recognise and saw them a lot",A safe consensual sexual space,No gin!?!,Hot showers,"Yes, 5 or more times",6,"A Long Weekend Festie (camping, music, dancing, workshops, talks)",up to 2.0 hrs,Keep at it
2018/05/01 8:24:47 pm GMT+12,Kapiti,BOTH!,I went TWO nights and would do two nights again next year;I could probably do a third night,7,I saw them once or twice,The loving vibe,Nothing,More psytrance ;),Not yet,7,"A Longer Larger Festival (camping, music, dancing, workshops, performances, multiple stages/zones)",any distance,You guys were amazing ♡
2018/05/01 8:25:05 pm GMT+12,wellington,BOTH!,I went TWO nights and would do two nights again next year,7,I knew about them but didn't see them,"bass music and freedom to dance dirty, crazy, and topless",its quite full. i wanted to spend time in the quiet (snug) zone but couldnt find room,,"Yes, 5 or more times",7,"A Weekend Doof (camping, bass music, dancing)",up to 4.0 hrs,"thank you! you've made something special. also, remember you can't please everyone. do what you love, make it safe, and if people want to complain about a lot of stuff they can go make their own party. snugs and bass for life!"
2018/05/01 8:26:01 pm GMT+12,Te Puke ,BOTH!,I went TWO nights and would do two nights again next year;I could probably do a third night,7,"Yeah, they were easy to recognise and saw them a lot",Sharing only good vibes,Nothing ,Finishing later 🤪,Not yet,7,"A Long Weekend Festie (camping, music, dancing, workshops, talks)",any distance,I love you !!
2018/05/01 8:27:37 pm GMT+12,Wellington ,Saturday only,One night was enough for me,6,I saw them once or twice,"It’s a space where I feel safe to be in my natural form, where I can express myself through dance and make connections with people in a way not easily done outside of the party space. ",The slippery dance floor! ,"Please be aware of the female gendered toilets using more toilet paper and hand towels! I had to keep telling bar staff to go and replace them. 

More room to stretch out in the chill space. 

",Not yet,7,"A Long Weekend Festie (camping, music, dancing, workshops, talks)",up to 2.0 hrs,
2018/05/01 8:29:33 pm GMT+12,Wellington,Saturday only,One night was enough for me,7,"Yeah, they were easy to recognise and saw them a lot","Loved the safe, not creepy, empowered vibe",dance area was very stuffy and uncomfortable - the fault of the boat is all!,"bar was understaffed so waits for drinks were longer than ideal, not a major issue","Yes, once",4,"A Weekend Doof (camping, bass music, dancing)",up to 1 hr,
2018/05/01 8:30:48 pm GMT+12,Wellington ,Friday only,One night was enough for me,7,The GT- Whhaaaat? No idea what you are on about.,Cheaper drinks was a major plus ,Nothing ,More variety in music ,Not yet,7,"A Weekend Doof (camping, bass music, dancing)",any distance,I would travel if it was a festival with the vibe of chur burn but like RnV
2018/05/01 8:31:34 pm GMT+12,Wellington ,Saturday only,One night was enough for me,6,I saw them once or twice,"A chance to dress up, have a mean party and catch up with friends ",Excessive d floor sweat,More oranges! But perhaps a change up to the location to freshen up the sweat,"Yes, 2 to 5 times",7,"A Long Weekend Festie (camping, music, dancing, workshops, talks)",up to 3.0 hrs,
2018/05/01 8:33:08 pm GMT+12,Wellington,Friday only,"I went ONE night, but would go for two nights next year",7,I knew about them but didn't see them,The environment. So loving+,No negatives ,No specific ideas ,Not yet,7,"A Long Weekend Festie (camping, music, dancing, workshops, talks)",up to 3.0 hrs,I had such an amazing time. I wanted to go to kiwi burn but felt reticent but now I know it will be amazing!
2018/05/01 8:35:23 pm GMT+12,Wellington,Saturday only,"I went ONE night, but would go for two nights next year",6,I knew about them but didn't see them,Multiple zones with very different feels. Loved Gypsy Hendrix playing in the middle then going down to the heavy bass,"The boiler room at the bottom of the boat sounded awesome but it was marred by the humidity of it. You got that sudden heat when descending  the stairs, and could feel the moisture when you breathed in- the walls were dripping in it! I’d love a more open space with a bit more fresh air and less sweat. ",See above about bottom level,"Yes, 2 to 5 times",7,"A Longer Larger Festival (camping, music, dancing, workshops, performances, multiple stages/zones)",up to 4.0 hrs,Love Chur and everything Kiwiburn. Those last questions make me very excited... bring on a Chur festival!!!
2018/05/01 8:35:43 pm GMT+12,Porirua,BOTH!,I went TWO nights and would do two nights again next year,7,"Yeah, they were easy to recognise and saw them a lot","The ease in which one can make new, good quality friends","Drinks on the dance floor. Spills happen, that’s fine. Let’s be prepared for that shit and have a mop or two at the ready!",Even more space for snugs!,"Yes, 2 to 5 times",6,"A Long Weekend Festie (camping, music, dancing, workshops, talks)",up to 1.5 hrs,You all rock. Friday was amazing. Saturday was even better. Loved last year. Loved this year. Serious bass therapy and my heart is full. Thank you team!
2018/05/01 8:39:14 pm GMT+12,Wellington ,Saturday only,One night was enough for me,7,I saw them once or twice,The vibe,Plastic cups!!,Would also like more variety on premixed drinks (these are easier on the dance floor compared to a glass),"Yes, once",7,"A Long Weekend Festie (camping, music, dancing, workshops, talks)",up to 2.0 hrs,I had an awesome time at Chur at kiwiburn and a great time at Chur burn...keep it up! You guys are awesome!!
2018/05/01 8:40:49 pm GMT+12,Wellington,Saturday only,"I went ONE night, but would go for two nights next year",7,I knew about them but didn't see them,"Radical self expression, the bass","While it's cool having zones, the stairs make it a bit of a mish on the boat",cosier snug,"Yes, once",7,"A Long Weekend Festie (camping, music, dancing, workshops, talks)",up to 2.0 hrs,
2018/05/01 8:41:33 pm GMT+12,Wellington,Saturday only,"I went ONE night, but would go for two nights next year",6,I saw them once or twice,Self expression!,"I dislike the amount of sweat.... Ventilation seriously needed, especially in the dampness of the boat.",People monitoring others intoxication. Harm reduction is important to our community. ,"Yes, once",7,"A Weekend Doof (camping, bass music, dancing)",up to 3.0 hrs,
2018/05/01 8:43:26 pm GMT+12,Wellington,Saturday only,One night was enough for me,7,"Yeah, they were easy to recognise and saw them a lot",Feeling sensual and safe with beautiful people,,Less cramped venue,"Yes, 5 or more times",4,"A Weekend Doof (camping, bass music, dancing)",up to 1 hr,
2018/05/01 8:43:35 pm GMT+12,Lower hutt,BOTH!,I went TWO nights and would do two nights again next year;I could probably do a third night,7,"Yeah, they were easy to recognise and saw them a lot",The love! ,Lose nothing! It’s all perfect. ,Maybe covers for the outside part? Probably not possible but it always rains :( ,"Yes, 2 to 5 times",7,"A Longer Larger Festival (camping, music, dancing, workshops, performances, multiple stages/zones)",any distance,"Thank you so much for all the consent awareness! I saw a security guard talking to a guy about being too full on with the ladies, that was honestly amazing, I’ve never seen that before. The posters were so good! Consent culture all the way! <3 you folks get it! I love you all xox "
2018/05/01 8:45:15 pm GMT+12,Auckland ,Friday only,"I went ONE night, but would go for two nights next year;I don't mind either way",6,I saw them once or twice,Free space for exploration ,Staff were a little fked up too and couldn't help eg: when music broke ,,Not yet,6,"A Long Weekend Festie (camping, music, dancing, workshops, talks)",any distance,
2018/05/01 8:50:24 pm GMT+12,Wellington,BOTH!,I went TWO nights and would do two nights again next year;I could probably do a third night,7,I saw them once or twice,"Inclusive, safe, consent based 🙂",N/A,More decor on entry/mid level floor ,"Yes, 2 to 5 times",7,"A Long Weekend Festie (camping, music, dancing, workshops, talks)",up to 4.0 hrs,
2018/05/01 8:50:40 pm GMT+12,Wellington,BOTH!,I could probably do a third night,6,"Yeah, they were easy to recognise and saw them a lot","The people and their spirits, the expression of what and who we are",Sticky floor and overly intoxicated people ,Maybe some food options?,"Yes, 2 to 5 times",5,"A Long Weekend Festie (camping, music, dancing, workshops, talks)",up to 2.0 hrs,Thank you all so much for a great weekend!!
2018/05/01 8:57:43 pm GMT+12,wellington,Saturday only,One night was enough for me,5,I saw them once or twice,"half time oranges, the post, coat check and the podium where people could dance in front of a fan. ",loud music in the snug area,"more organised performances and performance areas (pole was really difficult with the amount of people so close by), and I was never sure who was performing and who was just looking great and doing their thang","Yes, 2 to 5 times",6,"A Weekend Doof (camping, bass music, dancing)",up to 4.0 hrs,"As long as previous consent issues within the chur and burner communities have been resolved or are working towards being resolved, i have no issue with continuing to support chur. "
2018/05/01 8:59:07 pm GMT+12,Auckland ,BOTH!,I went TWO nights and would do two nights again next year,7,I knew about them but didn't see them,Amazing music. ,Vibes were cliquey and not inclusive at all and I don’t see that changing because they aren’t aware,Stop the cliques!!,"Yes, once",6,"A Longer Larger Festival (camping, music, dancing, workshops, performances, multiple stages/zones)",any distance,Please discourage the clique vibe of people there. It ruins the inclusive nature of burns when most of the people don’t want to engage and have made their minds up already on what is cool
2018/05/01 9:01:59 pm GMT+12,Wellington,BOTH!,I went TWO nights and would do two nights again next year,7,"Yeah, they were easy to recognise and saw them a lot",The different spaces/vibes - always feel like there's a place I feel like being!,,,"Yes, 2 to 5 times",7,"A Long Weekend Festie (camping, music, dancing, workshops, talks)",up to 4.0 hrs,
2018/05/01 9:05:48 pm GMT+12,Wellington,BOTH!,I went TWO nights and would do two nights again next year;I could probably do a third night,6,I saw them once or twice,"The ability to radically express myself, and see so many forms of self expression. The zones....so many zones....and that it's accessible so I don't feel like I'm totally missing the burn experience  (not managed to get to kb yet....)",The bar in the hull....I dislike drinking on the dance floor and all the moop left underfoot and around the sides,"Loved the idea of the event guide, would be awesome to have one of these a little sooner so I can squash   in even more epic churness",Not yet,7,"A Long Weekend Festie (camping, music, dancing, workshops, talks)",up to 1 hr,You guys are awesome
2018/05/01 9:08:09 pm GMT+12,Wellington,Friday only,One night was enough for me,6,I knew about them but didn't see them,"The opportunity to be myself in an accepting environment. The sound system was fucking awesome. BASS, BASS, BASS. Keep bringing the bass for those of us that worship",Having to finish at 4am. It'd be nice to have an option to transition to a chilling out type space afterwards. I also was a bit disappointed by the little 'pop up' bar that appeared at the bottom of the stairs by the dance floor. It'd be nice to have the commerce a bit away from the dance floor or maybe a way to have the party as BYO. A bit earlier notice about the themes for the various nights and respective lineups would have been good...,A bit earlier notice about the themes for the various nights and respective lineups would have been good...,"Yes, 2 to 5 times",7,"A Long Weekend Festie (camping, music, dancing, workshops, talks)",up to 4.0 hrs,Love what you do! More women djing?
2018/05/01 9:17:37 pm GMT+12,Wellington,BOTH!,I went TWO nights and would do two nights again next year;I could probably do a third night,7,I knew about them but didn't see them,The focus on freedom of expression and affirmative consent.,,It was toooo sweaty and hot downstairs. Moshers need ventilation!,Not yet,7,"A Longer Larger Festival (camping, music, dancing, workshops, performances, multiple stages/zones)",up to 2.0 hrs,I loved that it was within city limits. Having it closer to a cbd is perfect and convenient to attract new burners. No camping required.
2018/05/01 9:24:57 pm GMT+12,Auckland,BOTH!,I could probably do a third night,6,I saw them once or twice,Fun and randomness,Bars! Too slow and didn’t seem interested in serving. ,"A snug/chill spot by the dance zone at the bottom!! Near the stairs would’ve been cool, sometimes you don’t feel like dancing but want to listen to the music. ","Yes, once",7,"A Longer Larger Festival (camping, music, dancing, workshops, performances, multiple stages/zones)",any distance,
2018/05/01 9:38:01 pm GMT+12,mount maunganui,BOTH!,I went TWO nights and would do two nights again next year,7,I saw them once or twice,the people and the d floor,,,"Yes, 2 to 5 times",7,"A Longer Larger Festival (camping, music, dancing, workshops, performances, multiple stages/zones)",any distance,
2018/05/01 9:54:31 pm GMT+12,Auckland,BOTH!,I went TWO nights and would do two nights again next year,7,"Yeah, they were easy to recognise and saw them a lot","The awesome people are definitely #1, the great music, the sense of openness to express yourself however you like (within reason of course)",Nothing!,Make time slow down so that it lasts longer :),"Yes, once",7,"A Longer Larger Festival (camping, music, dancing, workshops, performances, multiple stages/zones)",any distance,"I honestly can't think of anything else to say, you guys did a great job!"
2018/05/01 10:00:50 pm GMT+12,Wellington,BOTH!,I went TWO nights and would do two nights again next year,7,"Yeah, they were easy to recognise and saw them a lot",Post,Better snugs.,Better snugs. ,"Yes, 2 to 5 times",7,"A Longer Larger Festival (camping, music, dancing, workshops, performances, multiple stages/zones)",any distance,
2018/05/01 10:04:31 pm GMT+12,Wellington ,Saturday only,I don't mind either way,7,I saw them once or twice,Reconnecting with the community ,,A gigantic extractor fan on the dance floor ,"Yes, 5 or more times",6,"A Long Weekend Festie (camping, music, dancing, workshops, talks)",up to 2.0 hrs,
2018/05/01 10:06:35 pm GMT+12,Wellington,BOTH!,I went TWO nights and would do two nights again next year;I could probably do a third night,7,I knew about them but didn't see them,"The authenticity of the event, organizers and people",The typical bad weather 😂,Harm reduction.,Not yet,5,"A Long Weekend Festie (camping, music, dancing, workshops, talks)",up to 1.5 hrs,
2018/05/01 10:29:58 pm GMT+12,Wellington,Friday only,I don't mind either way,4,The GT- Whhaaaat? No idea what you are on about.,The hugs,Performers,,"Yes, 5 or more times",1,,,
2018/05/01 10:37:04 pm GMT+12,Dunedin ,Saturday only,"I went ONE night, but would go for two nights next year",7,I knew about them but didn't see them,Community and seeing all the friendly faces in a raging boat of profane souls ,Could utilise the middle floor a bit more. It's good having that space for water and to talk but maaaaybe something else could fit in there? Turn a booth into a snug booth? Acoustic musicians (I am picturing a wandering lutist singing ballads of yesteryear. Or wonderwall. That's pretty dope too. ),Not much imho. You guys are doing a great job,"Yes, once",7,"A Longer Larger Festival (camping, music, dancing, workshops, performances, multiple stages/zones)",any distance,You guys rock!!
2018/05/01 10:38:35 pm GMT+12,Wellington,BOTH!,I went TWO nights and would do two nights again next year,7,I knew about them but didn't see them,Freedom to be me and da bass!!!,,Put the Craig Smith set on later ,"Yes, once",5,"A Weekend Doof (camping, bass music, dancing)",up to 3.0 hrs,
2018/05/01 10:43:19 pm GMT+12,Auckland ,BOTH!,I went TWO nights and would do two nights again next year;I could probably do a third night,7,"Yeah, they were easy to recognise and saw them a lot","Dancing, costumes, friends, music, burn principles ",,,"Yes, 2 to 5 times",7,"A Longer Larger Festival (camping, music, dancing, workshops, performances, multiple stages/zones)",any distance,
2018/05/01 11:38:12 pm GMT+12,Wellington. ,Friday only,"I went ONE night, but would go for two nights next year",7,"Yeah, they were easy to recognise and saw them a lot",The inclusivity ,Nothing!! ,More hydration please ,Not yet,7,"A Weekend Doof (camping, bass music, dancing)",up to 2.0 hrs,
2018/05/02 12:03:18 am GMT+12,Wellington ,Friday only,"I went ONE night, but would go for two nights next year",7,I saw them once or twice,,,,"Yes, once",6,"A Weekend Doof (camping, bass music, dancing)",up to 3.0 hrs,
2018/05/02 12:05:46 am GMT+12,Traveling,BOTH!,I went TWO nights and would do two nights again next year,6,I saw them once or twice,It feels like a mini kiwi-burn,,,"Yes, once",6,"A Weekend Doof (camping, bass music, dancing)",up to 3.0 hrs,I appreciated the ear plugs provided at the dancefloor
2018/05/02 12:11:38 am GMT+12,Wellington,BOTH!,I went TWO nights and would do two nights again next year,7,I knew about them but didn't see them,The community! The vibes! The tuuuuunes! Getting freaky af and throwin it all down hard with a bunch of other beautiful weirdos! ,The bar staff were fuuuuucken average! You could also lose about a hundred people and the lack of fans down below. ,"Fans for the d-floor! Better music on the Friday night, moar snugs! ","Yes, 2 to 5 times",7,"A Longer Larger Festival (camping, music, dancing, workshops, performances, multiple stages/zones)",any distance,"Moar Chur! Moar bass! More of the beautiful community, the good times, the sacred and the profane! "
2018/05/02 12:54:53 am GMT+12,Wellington,BOTH!,I went TWO nights and would do two nights again next year,7,I saw them once or twice,The people who surround you,,More people doing activities like secret tattoo or tarot etc ,Not yet,7,"A Longer Larger Festival (camping, music, dancing, workshops, performances, multiple stages/zones)",up to 3.0 hrs,Organisation was very impressive! I would love to volunteer next time to highlight your amazing work
2018/05/02 1:03:46 am GMT+12,Wellington,BOTH!,I went TWO nights and would do two nights again next year,7,I saw them once or twice,Atmosphere and the wildness of it...,N/A,Bigger venue...,Not yet,7,"A Longer Larger Festival (camping, music, dancing, workshops, performances, multiple stages/zones)",up to 3.0 hrs,
2018/05/02 6:25:40 am GMT+12,Mount Maunganui ,BOTH!,I went TWO nights and would do two nights again next year;I could probably do a third night,7,I saw them once or twice,Self Expression ,Naaaaa,A second stairwell ,"Yes, 5 or more times",7,"A Longer Larger Festival (camping, music, dancing, workshops, performances, multiple stages/zones)",any distance,
2018/05/02 7:46:47 am GMT+12,Wellington ,Saturday only,One night was enough for me,4,The GT- Whhaaaat? No idea what you are on about.,The loseness ,"Only really being and upstairs and down stairs. To hard to stay in the middle due to layout. Also, the amount of plastic moop! ",Make front of boat another spot of some sort. Was difficult to tell with the band and if it was off limits,"Yes, once",5,"A Weekend Doof (camping, bass music, dancing)",up to 1 hr,
2018/05/02 8:01:44 am GMT+12,Wellington,Saturday only,One night was enough for me;I don't mind either way,7,I saw them once or twice,Freedom and openness ,,Every 3-4 months ,"Yes, once",7,"A Long Weekend Festie (camping, music, dancing, workshops, talks)",up to 2.0 hrs,
2018/05/02 8:31:29 am GMT+12,Wellington,Friday only,One night was enough for me,7,I saw them once or twice,The people and how open & free they are,Two nights - better to have one big bang party,,"Yes, once",3,"A Weekend Doof (camping, bass music, dancing)",up to 1 hr,
2018/05/02 8:33:20 am GMT+12,Wellington ,Friday only,"I went ONE night, but would go for two nights next year",6,I saw them once or twice,Most people there wanted to have a good time and others to have a good time. ,Some people there just going to get fucked up and not wanting others to be happy,More cups and water stations,"Yes, once",5,"A Long Weekend Festie (camping, music, dancing, workshops, talks)",up to 1.5 hrs,
2018/05/02 8:36:10 am GMT+12,Wellington,Friday only,"I went ONE night, but would go for two nights next year",7,"Yeah, they were easy to recognise and saw them a lot",The safe environment,,A better water dispensary,Not yet,7,"A Weekend Doof (camping, bass music, dancing)",up to 3.0 hrs,Best event ive been to in Wellington hands down. 
2018/05/02 8:37:57 am GMT+12,Wellington,Friday only,I could probably do a third night,7,I knew about them but didn't see them,"creative freedom, dancing, sexiness 3","I was fine with it, but a few friends didn't like that it was all trap music, and wanted some decent house etc. ",free drinks,"Yes, once",5,"A Long Weekend Festie (camping, music, dancing, workshops, talks)",up to 3.0 hrs,"you all rock!! thank you!
and actually, great effort on raising awareness of consent issues. I only heard good reports"
2018/05/02 8:41:56 am GMT+12,Wellington ,Friday only,One night was enough for me,5,"Yeah, they were easy to recognise and saw them a lot",Good music nice people,The vague description of dress up. Pick a strong ahead of time so it’s clear how much effort to put for the costume. I put a lot of effort while others just wore essentially underwear. ,Cheaper drinks. ,"Yes, once",6,"A Long Weekend Festie (camping, music, dancing, workshops, talks)",up to 2.0 hrs,
2018/05/02 8:47:05 am GMT+12,Wellington,Friday only,One night was enough for me,6,"Yeah, they were easy to recognise and saw them a lot",The vibe and the hard work put in by volunteers.,Mugginess on the dancefloor?,Some kind of extraction system for the dancefloor.,"Yes, 5 or more times",2,"A Weekend Doof (camping, bass music, dancing)",up to 30 mins,Anyone who wants a weeklong Chur festival should just come along to Kiwiburn.
2018/05/02 8:48:02 am GMT+12,Wellington,BOTH!,I don't mind either way,6,The GT- Whhaaaat? No idea what you are on about.,Amazing human beings - connections; snuggles; dancing,4am shut down,all nighter option,"Yes, once",7,"A Long Weekend Festie (camping, music, dancing, workshops, talks)",up to 2.0 hrs,
2018/05/02 8:49:57 am GMT+12,Wellington,Friday only,"I went ONE night, but would go for two nights next year",7,I saw them once or twice,The people/atmosphere ,nothing!,Some sort of ride,Not yet,7,"A Weekend Doof (camping, bass music, dancing)",up to 30 mins,
2018/05/02 8:58:22 am GMT+12,Wellington,BOTH!,I went TWO nights and would do two nights again next year,7,I saw them once or twice,"The costumes, the respect, and the activities","Not sure, it was pretty amazing!","Not sure, it was pretty amazing!",Not yet,7,"A Longer Larger Festival (camping, music, dancing, workshops, performances, multiple stages/zones)",up to 3.0 hrs,
2018/05/02 9:03:19 am GMT+12,Wellington,BOTH!,I went TWO nights and would do two nights again next year,7,I saw them once or twice,An opportunity to connect with so many incredible people in such a fun and safe space,,"ANOTHER CHUR BURN! haha, or at least more than one event a year (aside from KB). would love to feel the warmth from the community more than twice a year :) I really enjoyed the juices/tattoo/mail/body art sections - having little spaces like them to discover and enjoy was such a gift. would love to see more of that in the future even","Yes, 2 to 5 times",7,"A Long Weekend Festie (camping, music, dancing, workshops, talks)",up to 4.0 hrs,You're all wicked thank you x
2018/05/02 9:05:41 am GMT+12,Christchurch,Friday only,One night was enough for me,7,"Yeah, they were easy to recognise and saw them a lot",Safe environment to experiment and dance to filthy bass beats until my legs fall off :) ,,"I actually felt that the two night weekend split the people and meant that the dancefloor wasn't as full later on Friday night. I'm not sure how it was on Sat, but I think just having one BIG night would focus the event more and have more people going hard for one night. (that's how I like to party :)
If I went for two nights I would have to take the next few days off work, and while that's great for kiwiburn, it's not something I can do for a work week.","Yes, once",6,"A Weekend Doof (camping, bass music, dancing)",up to 1 hr,
2018/05/02 9:06:35 am GMT+12,Wellington,BOTH!,One night was enough for me,5,The GT- Whhaaaat? No idea what you are on about.,The people,lack of cover in smoking area,better coat check systems,Not yet,7,"A Weekend Doof (camping, bass music, dancing)",any distance,
2018/05/02 9:13:58 am GMT+12,Wellington,BOTH!,I went TWO nights and would do two nights again next year,7,"Yeah, they were easy to recognise and saw them a lot",The unbelievable amounts of care and effort that is put into making it a safe space to let loose! ,?,Nang bar ;) ,"Yes, 2 to 5 times",7,"A Weekend Doof (camping, bass music, dancing)",any distance,
2018/05/02 9:26:38 am GMT+12,Wellington,BOTH!,"I went ONE night, but would go for two nights next year",7,I saw them once or twice,People ,N/A,Music,Not yet,7,"A Longer Larger Festival (camping, music, dancing, workshops, performances, multiple stages/zones)",up to 2.0 hrs,
2018/05/02 9:28:21 am GMT+12,wellington,BOTH!,One night was enough for me,6,I saw them once or twice,"Really easy to get to, close to CBD",More staff on bar & scheduled dancers,multiple dance floors,"Yes, once",5,"A Long Weekend Festie (camping, music, dancing, workshops, talks)",up to 2.0 hrs,
